Date,GLD,QQQ,SPY,TLT
2018-04-27,125.5,153.71466064453125,234.95143127441406,94.12126159667969
2018-04-30,124.58999633789062,152.6240997314453,233.1444854736328,94.28750610351562
2018-05-01,123.70999908447266,154.36903381347656,233.5587158203125,93.94791412353516
2018-05-02,123.6500015258789,153.4586181640625,231.98977661132812,93.84475708007812
2018-05-03,124.27999877929688,153.4396514892578,231.4785919189453,94.26529693603516
2018-05-04,124.54000091552734,156.35096740722656,234.4753875732422,94.40811920166016
2018-05-07,124.56999969482422,157.65020751953125,235.26869201660156,94.2573471069336
2018-05-08,124.58999633789062,157.48899841308594,235.26869201660156,94.17005920410156
2018-05-09,124.33000183105469,159.2055206298828,237.5427703857422,93.60675048828125
2018-05-10,125.18000030517578,160.85557556152344,239.763916015625,94.36050415039062
2018-05-11,125.0,160.7039031982422,240.49557495117188,94.59849548339844
2018-05-14,124.48999786376953,160.97886657714844,240.610107421875,94.0986557006836
2018-05-15,122.4800033569336,159.19601440429688,238.9530029296875,93.02758026123047
2018-05-16,122.29000091552734,160.2486572265625,239.95785522460938,92.67049407958984
2018-05-17,122.36000061035156,159.6322021484375,239.75509643554688,92.20240020751953
2018-05-18,122.41000366210938,158.80723571777344,239.15573120117188,92.99581909179688
2018-05-21,122.4800033569336,159.69863891601562,240.9539031982422,93.04339599609375
2018-05-22,122.41000366210938,159.48997497558594,240.28392028808594,92.900634765625
2018-05-23,122.54000091552734,160.83663940429688,240.94505310058594,93.57502746582031
2018-05-24,123.58999633789062,160.78921508789062,240.451416015625,94.32080078125
2018-05-25,123.20999908447266,160.95045471191406,239.8785400390625,94.90797424316406
2018-05-29,123.19000244140625,160.2391815185547,237.11968994140625,96.98667907714844
2018-05-30,123.37000274658203,161.38662719726562,240.28392028808594,96.33606719970703
2018-05-31,123.0999984741211,161.28231811523438,238.81195068359375,96.17742919921875
2018-06-01,122.48999786376953,163.81434631347656,241.1566162109375,95.66927337646484
2018-06-04,122.37000274658203,165.2937774658203,242.30238342285156,94.9773941040039
2018-06-05,122.8499984741211,165.8058319091797,242.4787139892578,95.20008087158203
2018-06-06,122.91999816894531,166.7731475830078,244.5059356689453,94.42865753173828
2018-06-07,122.86000061035156,165.41709899902344,244.47943115234375,95.34323120117188
2018-06-08,123.01000213623047,165.4265594482422,245.20223999023438,95.05689239501953
2018-06-11,123.2300033569336,165.8722381591797,245.5284423828125,94.88191223144531
2018-06-12,122.81999969482422,166.74468994140625,245.8457489013672,94.90576171875
2018-06-13,123.19000244140625,166.73521423339844,245.0612335205078,94.85810089111328
2018-06-14,123.37999725341797,168.42327880859375,245.67823791503906,95.64540100097656
